5 74.47917
15 3.36372
25 2.37269
35 1.95312
45 1.57697
55 1.34549
65 1.05613
75 1.01997
85 0.88976
95 0.87529
105 0.81742
115 0.78125
125 0.71615
135 0.64381
145 0.81742
155 0.67274
165 0.60764
175 0.60764
185 0.48466
195 0.51360
205 0.33275
215 0.35446
225 0.34722
235 0.35446
245 0.31105
255 0.28935
265 0.20978
275 0.18808
285 0.28935
295 0.22425
305 0.20255
315 0.15914
325 0.09404
335 0.17361
345 0.10127
355 0.09404
365 0.07234
375 0.06510
385 0.07234
395 0.06510
405 0.04340
415 0.02894
425 0.01447
435 0.05064
445 0.02170
455 0.02170
465 0.01447
475 0.02170
485 0.01447
495 0.00723
505 0.02894
515 0.01447
525 0.02894
535 0.00000
545 0.00723
555 0.00000
565 0.01447
575 0.01447
585 0.01447
595 0.02170
605 0.00000
615 0.00723
625 0.01447
